epoch,mean_loss,minimum_dice_femur,minimum_dice_tibia,minimum_dice_patella,minimum_dice_fibula,consecutive_passes,dice_VSD_016_Left_femur,target_voxels_VSD_016_Left_femur,predicted_voxels_VSD_016_Left_femur,maximum_probability_VSD_016_Left_femur,mean_target_probability_VSD_016_Left_femur,dice_VSD_016_Left_tibia,target_voxels_VSD_016_Left_tibia,predicted_voxels_VSD_016_Left_tibia,maximum_probability_VSD_016_Left_tibia,mean_target_probability_VSD_016_Left_tibia,dice_VSD_016_Left_patella,target_voxels_VSD_016_Left_patella,predicted_voxels_VSD_016_Left_patella,maximum_probability_VSD_016_Left_patella,mean_target_probability_VSD_016_Left_patella,dice_VSD_016_Left_fibula,target_voxels_VSD_016_Left_fibula,predicted_voxels_VSD_016_Left_fibula,maximum_probability_VSD_016_Left_fibula,mean_target_probability_VSD_016_Left_fibula
0,1.2076952457427979,0.0561932809650898,0.0650542601943016,0.017063843086361885,0.008078168146312237,0,0.0561932809650898,394926,13578346,0.8443393707275391,0.6947538256645203,0.0650542601943016,298939,7672745,0.9416859149932861,0.8200343251228333,0.017063843086361885,35620,4133429,0.6504537463188171,0.6177010536193848,0.008078168146312237,28983,5510144,0.9188176989555359,0.7202366590499878
10,0.8017886877059937,0.28621605038642883,0.2733560800552368,0.030941855162382126,0.035151660442352295,0,0.28621605038642883,394926,2362851,0.9863888621330261,0.8651903867721558,0.2733560800552368,298939,1875836,0.9767757654190063,0.8901763558387756,0.030941855162382126,35620,2266763,0.9572935104370117,0.8879446983337402,0.035151660442352295,28983,1620043,0.9805957078933716,0.9008660316467285
20,0.705757737159729,0.4089527428150177,0.44354909658432007,0.07959109544754028,0.05235978588461876,0,0.4089527428150177,394926,1536011,0.9978523254394531,0.9431367516517639,0.44354909658432007,298939,1049002,0.9855887293815613,0.9237641096115112,0.07959109544754028,35620,859455,0.9969845414161682,0.9654892086982727,0.05235978588461876,28983,1078088,0.9940528273582458,0.9650402665138245
30,0.6662207841873169,0.6615120768547058,0.5276003479957581,0.15523605048656464,0.07062048465013504,0,0.6615120768547058,394926,799084,0.9988974332809448,0.9642730355262756,0.5276003479957581,298939,832876,0.9860371947288513,0.9322356581687927,0.15523605048656464,35620,423294,0.9986538887023926,0.9823246002197266,0.07062048465013504,28983,791827,0.9860351085662842,0.9565399885177612
40,0.6230719685554504,0.7380622029304504,0.553712785243988,0.3089412450790405,0.07740834355354309,0,0.7380622029304504,394926,675057,0.9988435506820679,0.9680294394493103,0.553712785243988,298939,780823,0.992874026298523,0.9472649693489075,0.3089412450790405,35620,194974,0.9997666478157043,0.9925037622451782,0.07740834355354309,28983,719851,0.9905264377593994,0.9634329080581665
50,0.590046763420105,0.7675465941429138,0.5975207686424255,0.4490472674369812,0.08567235618829727,0,0.7675465941429138,394926,633762,0.9988721013069153,0.9718160629272461,0.5975207686424255,298939,701602,0.9976937174797058,0.9543763399124146,0.4490472674369812,35620,123027,0.9997714161872864,0.9896478056907654,0.08567235618829727,28983,647618,0.9971954822540283,0.9747559428215027
60,0.5687172412872314,0.8628477454185486,0.653476357460022,0.6566506624221802,0.09907837212085724,0,0.8628477454185486,394926,495785,0.9966873526573181,0.8905631899833679,0.653476357460022,298939,615319,0.9964583516120911,0.9611690044403076,0.6566506624221802,35620,72008,0.9983707070350647,0.9326450228691101,0.09907837212085724,28983,556069,0.9956804513931274,0.9469585418701172
70,0.5481345653533936,0.7260251045227051,0.6454346776008606,0.4336301386356354,0.09931143373250961,0,0.7260251045227051,394926,690918,0.9993999004364014,0.974506139755249,0.6454346776008606,298939,626645,0.9991556406021118,0.9587589502334595,0.4336301386356354,35620,128566,0.9989481568336487,0.9655045866966248,0.09931143373250961,28983,554696,0.9992864727973938,0.982386589050293
80,0.5167425870895386,0.7977820634841919,0.6854616403579712,0.3937434256076813,0.10542722791433334,0,0.7977820634841919,394926,593572,0.9984846711158752,0.9661376476287842,0.6854616403579712,298939,572570,0.9988250136375427,0.9559929966926575,0.3937434256076813,35620,145310,0.9995741248130798,0.9933019280433655,0.10542722791433334,28983,520837,0.9998101592063904,0.9905543923377991
90,0.4904559850692749,0.8434432148933411,0.7282764315605164,0.4848732352256775,0.12683971226215363,0,0.8434432148933411,394926,540613,0.9986742734909058,0.9609358906745911,0.7282764315605164,298939,521667,0.9983035326004028,0.9619656801223755,0.4848732352256775,35620,111305,0.9994901418685913,0.9870191216468811,0.12683971226215363,28983,428019,0.9999722242355347,0.9895538091659546
