dataset,case,side,variant,occ_pct,n_components,bridging,deep_fill_pct,holes_pct,ceiling_dice,dice_vs_baseline
healthy,VSD_002,left,V0_baseline,2.4586021900177,840,0,0.0,,0.5169665181508846,1.0
healthy,VSD_002,left,V1_otsu,1.656961441040039,780,0,0.0,,0.41413183625828565,0.8052172628487263
healthy,VSD_002,left,V2_cleanup,2.4404823780059814,4,0,0.0,,0.5358017986776545,0.996301388196075
healthy,VSD_002,left,V3_solidify,3.729844093322754,209,1,9.105543231875098,6.441246220619914,0.6928959134727177,0.7907891074299133
healthy,VSD_002,left,V4_solid_clean,3.724193572998047,4,1,9.105543231875098,6.451019180046606,0.7162910190205476,0.7897129184296554
healthy,VSD_002,left,V5_anat_solid,3.705275058746338,10,0,8.83159387614095,5.0919982884039365,0.7135189857145152,0.7950358128160274
healthy,VSD_002,left,V6_conservative,3.066110610961914,3,1,1.8451580057456636,27.041958911992037,0.6308658327201374,0.8830490682311767
healthy,VSD_002,right,V0_baseline,2.536231279373169,848,0,0.0,,0.5047547364980964,1.0
healthy,VSD_002,right,V1_otsu,1.5793919563293457,931,0,0.0,,0.3881489033516877,0.7675104672499266
healthy,VSD_002,right,V2_cleanup,2.513241767883301,4,0,0.0,,0.5335685334622379,0.9954471464101865
healthy,VSD_002,right,V3_solidify,3.811103105545044,206,0,7.178931585465877,5.707565096489349,0.6739238011420079,0.7952833395623651
healthy,VSD_002,right,V4_solid_clean,3.7989437580108643,4,0,7.178931585465877,5.725676504690464,0.7111795732411512,0.79306704702192
healthy,VSD_002,right,V5_anat_solid,3.747934103012085,10,0,6.632762174243083,5.92017480943831,0.6966460560442007,0.8041900469312573
healthy,VSD_002,right,V6_conservative,3.2344937324523926,9,0,2.571508475731418,22.34611854980485,0.6331755036509296,0.8715376582758966
healthy,VSD_z001,left,V0_baseline,3.7107884883880615,272,0,0.0,,0.5331632532903766,1.0
healthy,VSD_z001,left,V1_otsu,1.8796801567077637,295,0,0.0,,0.34080745596687007,0.6724588853053283
healthy,VSD_z001,left,V2_cleanup,3.704172372817993,4,0,0.0,,0.5334839038100168,0.9991077342559308
healthy,VSD_z001,left,V3_solidify,5.628269910812378,41,1,19.10412855162577,5.315763444025896,0.7118514249399451,0.7892731457193296
healthy,VSD_z001,left,V4_solid_clean,5.62785267829895,4,1,19.10412855162577,5.316157539157612,0.7120544366667723,0.7892241588394934
healthy,VSD_z001,left,V5_anat_solid,5.444061756134033,6,0,15.29168748102614,9.377552383392347,0.696136449640237,0.8100244217017843
healthy,VSD_z001,left,V6_conservative,4.08862829208374,3,1,0.38277004723989544,41.7206301260427,0.5738147928640173,0.9439529240939225
healthy,VSD_z036,right,V0_baseline,4.160916805267334,176,0,0.0,,0.5031297590535984,1.0
healthy,VSD_z036,right,V1_otsu,2.445554733276367,282,0,0.0,,0.3469581041679351,0.7403512507420726
healthy,VSD_z036,right,V2_cleanup,4.157543182373047,4,0,0.0,,0.5034453440039033,0.9995944414111146
healthy,VSD_z036,right,V3_solidify,6.43080472946167,62,0,28.362121572413713,11.302240223929706,0.686412261528982,0.7801491956087689
healthy,VSD_z036,right,V4_solid_clean,6.4301252365112305,4,0,28.362121572413713,11.30343456964987,0.6867593977782729,0.7800788122115031
healthy,VSD_z036,right,V5_anat_solid,6.846386194229126,7,0,31.95795360457021,6.835864893312311,0.7122503730587844,0.7558096277776966
healthy,VSD_z036,right,V6_conservative,4.627108573913574,5,0,3.924444839174543,46.600927476491044,0.5470542015637166,0.9399166839620018
fractured,Case1,left,V0_baseline,2.2958576679229736,782,0,0.0,,0.47377241443355145,1.0
fractured,Case1,left,V1_otsu,0.9836018085479736,675,0,0.0,,0.27485130770934757,0.5998560528678558
fractured,Case1,left,V2_cleanup,2.2781431674957275,4,0,0.0,,0.48651610735179557,0.9961271322274202
fractured,Case1,left,V3_solidify,3.8511574268341064,275,0,12.912111448903243,3.6468627199098615,0.6864037522276195,0.7419601317950777
fractured,Case1,left,V4_solid_clean,3.846031427383423,4,0,12.912111448903243,3.651723266853362,0.7040374376915897,0.740933467127571
fractured,Case1,left,V5_anat_solid,3.5933613777160645,11,0,12.480366373211556,9.15775645002372,0.6717458074803209,0.7765096194816643
fractured,Case1,left,V6_conservative,3.132808208465576,2,0,2.6208457841897705,25.556223577715286,0.6138420985631415,0.8377070617570234
fractured,Case3,left,V0_baseline,2.4482011795043945,843,0,0.0,,0.5125277560969828,1.0
fractured,Case3,left,V1_otsu,1.2061715126037598,897,0,0.0,,0.3224247580762732,0.6601250689118613
fractured,Case3,left,V2_cleanup,2.4317681789398193,4,0,0.0,,0.5220581978388705,0.9966325607073455
fractured,Case3,left,V3_solidify,3.9481759071350098,264,0,11.776549642109364,1.3534240950250154,0.7155840802705935,0.7612991481026601
fractured,Case3,left,V4_solid_clean,3.9449214935302734,4,0,11.776549642109364,1.3545406195984577,0.729495584546132,0.7606704531469679
fractured,Case3,left,V5_anat_solid,3.756624460220337,7,0,11.078541169596338,5.964550968890468,0.704416567380706,0.7870512595137161
fractured,Case3,left,V6_conservative,3.142702579498291,2,0,0.142912791546964,26.936717887637553,0.6279142191086671,0.8692363949603304
fractured,Case9,right,V0_baseline,3.4087538719177246,1497,0,0.0,,0.5210463858234538,1.0
fractured,Case9,right,V1_otsu,1.384902000427246,807,0,0.0,,0.3197863943377984,0.5778061827161476
fractured,Case9,right,V2_cleanup,3.370124101638794,4,0,0.0,,0.5707863830096529,0.9943014507076805
fractured,Case9,right,V3_solidify,5.072581768035889,675,1,8.049393768775332,1.331080398290088,0.689782116393711,0.799059969134154
fractured,Case9,right,V4_solid_clean,5.055832862854004,4,1,8.049393768775332,1.3354899861829603,0.7452127678267073,0.7966991568330045
fractured,Case9,right,V5_anat_solid,5.034452676773071,4,0,8.229497074632711,1.006936674871336,0.7458027453674353,0.8027800230844985
fractured,Case9,right,V6_conservative,4.100888967514038,2,1,0.0008742878925115493,24.801348807802157,0.6546463654597839,0.8969076338052986
fractured,Case11,right,V0_baseline,2.6817679405212402,7430,0,0.0,,0.3918770557876478,1.0
fractured,Case11,right,V1_otsu,1.6471326351165771,3096,0,0.0,,0.4461019772818811,0.7609935161765131
fractured,Case11,right,V2_cleanup,2.59934663772583,4,0,0.0,,0.6027320014014517,0.9843931992812835
fractured,Case11,right,V3_solidify,3.4228622913360596,6042,0,0.8152451736507781,0.9481751329099486,0.4721809160339865,0.8736158533549049
fractured,Case11,right,V4_solid_clean,3.356403112411499,4,0,0.8152451736507781,0.9660617533665654,0.7087619312535753,0.8616881713106234
fractured,Case11,right,V5_anat_solid,3.315567970275879,6,0,0.8659201735396488,0.5689785352173444,0.7081680705647356,0.8709304243946944
fractured,Case11,right,V6_conservative,3.1574547290802,4,0,0.0013335526286544898,7.279138735929232,0.6810780857459506,0.8907058476469873
fractured,Case12,right,V0_baseline,3.0591964721679688,398,0,0.0,,0.48658646767659625,1.0
fractured,Case12,right,V1_otsu,1.3871550559997559,426,0,0.0,,0.2999900744928646,0.6239520412239569
fractured,Case12,right,V2_cleanup,3.0521750450134277,4,0,0.0,,0.48602858824199396,0.998851088150213
fractured,Case12,right,V3_solidify,4.753309488296509,84,2,13.874384313236487,5.738877679871293,0.6674754762462755,0.7770883353513066
fractured,Case12,right,V4_solid_clean,4.752165079116821,4,2,13.874384313236487,5.740259707681482,0.6674410272122853,0.7769335894131301
fractured,Case12,right,V5_anat_solid,4.581975936889648,6,0,11.671550595423655,9.699269442507623,0.6493139669636492,0.7998168452451528
fractured,Case12,right,V6_conservative,3.5856902599334717,1,2,0.5155402456512251,38.74204385458934,0.5487567707601678,0.9125918191791192
fractured,Case13,right,V0_baseline,2.4376392364501953,5456,0,0.0,,0.46236699549298227,1.0
fractured,Case13,right,V1_otsu,1.2892544269561768,3398,0,0.0,,0.3416923566632466,0.6918654211227487
fractured,Case13,right,V2_cleanup,2.37807035446167,4,0,0.0,,0.5319532757257502,0.987630300194816
fractured,Case13,right,V3_solidify,3.7728071212768555,2841,0,2.043436161264451,0.9678153220047648,0.6346388790157348,0.7799892508205847
fractured,Case13,right,V4_solid_clean,3.748810291290283,4,0,2.043436161264451,0.9740104873868345,0.7201282831480667,0.775305083080101
fractured,Case13,right,V5_anat_solid,3.606349229812622,5,0,2.1263277322431096,3.7205497111785073,0.7087421231514773,0.795423727309216
fractured,Case13,right,V6_conservative,3.40614914894104,2,0,0.029831184835977388,11.118771841100905,0.6773967751590639,0.8201463650967693
fractured,Case16,right,V0_baseline,1.8825292587280273,327,0,0.0,,0.42073740545977106,1.0
fractured,Case16,right,V1_otsu,1.1217176914215088,243,0,0.0,,0.29666990619553985,0.7467546510220642
fractured,Case16,right,V2_cleanup,1.8762052059173584,4,0,0.0,,0.4208604525545103,0.9983175047691841
fractured,Case16,right,V3_solidify,3.2953619956970215,111,0,30.77673222811839,19.744786296959504,0.6373446107220115,0.7215605740031725
fractured,Case16,right,V4_solid_clean,3.2936692237854004,4,0,30.77673222811839,19.75493407361026,0.6387705147804676,0.7211724253876571
fractured,Case16,right,V5_anat_solid,3.3379852771759033,6,0,27.477868260742916,18.297349563677077,0.6427514699519217,0.7198412526245723
fractured,Case16,right,V6_conservative,2.1810054779052734,3,0,1.52832482680885,58.62201840879774,0.47413865152859025,0.9179726233153599
