epoch,train_loss,validation_loss,feature_std,lr,train_fcmae,train_cross
0,1.274411365389824,0.46932607889175415,0.45518462359905243,1.875e-05,0.49877192080020905,0.7756394371390343
1,1.307100273668766,0.4649584889411926,0.4537539780139923,2.8125e-05,0.514749713242054,0.792350560426712
2,1.3098518252372742,0.46158337593078613,0.450207844376564,3.75e-05,0.5189832262694836,0.7908685803413391
3,1.3384145498275757,0.45940282940864563,0.4384351968765259,4.6874999999999994e-05,0.5365239940583706,0.8018905594944954
4,1.2603986859321594,0.45851290225982666,0.4357440769672394,5.625e-05,0.4959479309618473,0.7644507586956024
5,1.3295857161283493,0.4579804539680481,0.4326777011156082,6.5625e-05,0.5314067229628563,0.798178993165493
6,1.2604235261678696,0.45694708824157715,0.4268525242805481,7.5e-05,0.497507531195879,0.7629159912467003
7,1.2221844494342804,0.4559105336666107,0.4225681275129318,7.5e-05,0.4770296961069107,0.7451547533273697
8,1.2345991879701614,0.45536643266677856,0.4217090308666229,7.497813833873152e-05,0.4824221506714821,0.7521770372986794
9,1.2553567290306091,0.4545302987098694,0.4194575548171997,7.491257884464522e-05,0.4966697543859482,0.7586869448423386
10,1.248559184372425,0.4535943269729614,0.4222916513681412,7.480339795717854e-05,0.49040546640753746,0.7581537291407585
11,1.3292616307735443,0.4528453052043915,0.428708091378212,7.46507229763624e-05,0.5305086523294449,0.7987529784440994
12,1.337062880396843,0.45220109820365906,0.43257367610931396,7.445473191439487e-05,0.5332168452441692,0.8038460090756416
13,1.2786838114261627,0.4514852464199066,0.4285927563905716,7.421565328808711e-05,0.5048868954181671,0.7737969234585762
14,1.2391339838504791,0.45112037658691406,0.42532235383987427,7.393376585242279e-05,0.48618314787745476,0.7529508322477341
15,1.2149403095245361,0.45070597529411316,0.4297313392162323,7.360939827554248e-05,0.47457660362124443,0.7403637021780014
16,1.2942858189344406,0.4496524930000305,0.4306286722421646,7.324292875553102e-05,0.5107304006814957,0.7835554331541061
17,1.2584796249866486,0.44864165782928467,0.4304061532020569,7.283478457945577e-05,0.4987250603735447,0.759754553437233
18,1.3256890326738358,0.4479709267616272,0.43365029990673065,7.238544162516873e-05,0.5299682728946209,0.7957207635045052
19,1.1090662479400635,0.4475308954715729,0.43726490437984467,7.189542380645448e-05,0.42191221192479134,0.6871540546417236
20,1.2307019531726837,0.4464172422885895,0.43565770983695984,7.136530246216997e-05,0.48236406594514847,0.7483378946781158
21,1.3645581007003784,0.4453216791152954,0.43237607181072235,7.079569569008906e-05,0.5516131743788719,0.8129449114203453
22,1.2951377034187317,0.44450533390045166,0.43433766067028046,7.018726762622817e-05,0.5159903578460217,0.7791473418474197
23,1.278623953461647,0.4440303444862366,0.439003586769104,6.954072767049332e-05,0.5071098580956459,0.7715140879154205
24,1.2221216410398483,0.4434300661087036,0.4373912066221237,6.885682965955165e-05,0.48083803430199623,0.7412836253643036
25,1.2141169756650925,0.44268012046813965,0.4314643144607544,6.813637098789157e-05,0.47534720227122307,0.7387697771191597
26,1.2736833542585373,0.44181114435195923,0.42769813537597656,6.738019167809642e-05,0.5060788691043854,0.7676045075058937
27,1.2752975970506668,0.4410649240016937,0.42876748740673065,6.658917340141574e-05,0.5064361728727818,0.7688614204525948
28,1.2906211167573929,0.4406849443912506,0.4299127906560898,6.576423844977604e-05,0.5131156779825687,0.7775054425001144
29,1.2728314995765686,0.4399278461933136,0.4281405359506607,6.490634866042965e-05,0.505862008780241,0.7669694796204567
30,1.2876285314559937,0.4391902685165405,0.4263211786746979,6.401650429449552e-05,0.5144324451684952,0.7731960862874985
31,1.3162964135408401,0.43847766518592834,0.4266124963760376,6.309574287069953e-05,0.5279126167297363,0.7883838042616844
32,1.2559629380702972,0.4379187524318695,0.43020613491535187,6.214513795567397e-05,0.49771587923169136,0.7582470625638962
33,1.2765187472105026,0.437320351600647,0.43079523742198944,6.116579791222697e-05,0.5100418254733086,0.7664769291877747
34,1.2617536932229996,0.4365044832229614,0.4266637861728668,6.0158864607041035e-05,0.5020600967109203,0.7596935927867889
35,1.2204118371009827,0.4359530210494995,0.42517460882663727,5.912551207930752e-05,0.4821305312216282,0.738281324505806
36,1.2922944724559784,0.4355509281158447,0.4265104830265045,5.806694517184945e-05,0.516204297542572,0.776090182363987
37,1.3603882640600204,0.4350549280643463,0.4280669093132019,5.6984398126328754e-05,0.5484951660037041,0.811893105506897
38,1.2493313699960709,0.4344293475151062,0.42774662375450134,5.587913314417565e-05,0.4958398900926113,0.7534914612770081
39,1.2432581335306168,0.4339261054992676,0.42634260654449463,5.47524389149182e-05,0.49342379719018936,0.7498343288898468
40,1.2723984867334366,0.43361279368400574,0.42729488015174866,5.3605629113628074e-05,0.50444595515728,0.767952524125576
41,1.2240054532885551,0.43315809965133667,0.42834728956222534,5.2440040869234056e-05,0.4820205122232437,0.7419849336147308
42,1.231310784816742,0.4324624538421631,0.42853251099586487,5.1257033205489615e-05,0.48650990799069405,0.7448008731007576
43,1.3148888945579529,0.43202778697013855,0.42679359018802643,5.0057985456411974e-05,0.5286356396973133,0.7862532511353493
44,1.2945024967193604,0.43156224489212036,0.4264933615922928,4.8844295658040336e-05,0.5172586031258106,0.7772439122200012
45,1.2242334932088852,0.4310244917869568,0.42564164102077484,4.76173789183884e-05,0.4831288866698742,0.7411046028137207
46,1.225001946091652,0.43056273460388184,0.42470259964466095,4.637866576749175e-05,0.481760922819376,0.7432410269975662
47,1.3228095322847366,0.4301071763038635,0.4240751266479492,4.5129600489473766e-05,0.528422623872757,0.7943869084119797
48,1.1980700492858887,0.42966631054878235,0.42382360994815826,4.3871639438575e-05,0.4702082686126232,0.7278617694973946
49,1.1303247660398483,0.42922401428222656,0.4246069937944412,4.260624934110925e-05,0.4341963790357113,0.6961283832788467
50,1.2660236358642578,0.4288596510887146,0.42655110359191895,4.133490558532628e-05,0.5031568333506584,0.7628667876124382
51,1.2788177579641342,0.42851290106773376,0.4280177652835846,4.005909050117516e-05,0.5076551400125027,0.7711626142263412
52,1.2763115465641022,0.4279786944389343,0.42762309312820435,3.878029163197379e-05,0.5093923769891262,0.7669191658496857
53,1.2044623643159866,0.42752593755722046,0.42758870124816895,3.75e-05,0.47124918922781944,0.7332131713628769
54,1.273461401462555,0.4271596670150757,0.4277048408985138,3.6219708368026204e-05,0.5067355185747147,0.7667258754372597
55,1.249400943517685,0.4267154037952423,0.4288751184940338,3.494090949882484e-05,0.49331701546907425,0.7560839504003525
56,1.225884810090065,0.42641380429267883,0.4291526973247528,3.3665094414673715e-05,0.48366793990135193,0.7422168701887131
57,1.3232478350400925,0.42608001828193665,0.4277729243040085,3.239375065889076e-05,0.5333400815725327,0.7899077385663986
58,1.309966653585434,0.42567360401153564,0.4264759123325348,3.1128360561425e-05,0.5275353491306305,0.7824312970042229
59,1.2445774525403976,0.42531031370162964,0.4280591756105423,2.9870399510526237e-05,0.49358610808849335,0.7509913444519043
60,1.136909544467926,0.42516615986824036,0.43105223774909973,2.8621334232508243e-05,0.4388436861336231,0.6980658620595932
61,1.2295520901679993,0.42477670311927795,0.4311651587486267,2.7382621081611582e-05,0.48560476675629616,0.7439473122358322
62,1.2368670403957367,0.424444317817688,0.43088068068027496,2.6155704341959658e-05,0.48955196887254715,0.7473150864243507
63,1.2858773469924927,0.4243464469909668,0.429518461227417,2.4942014543588016e-05,0.5141971670091152,0.771680161356926
