epoch,train_loss,validation_loss,feature_std,lr
0,0.7548611089587212,0.38947933486529757,0.4713568538427353,7.499999999999999e-06
1,0.7531776055693626,0.38889381289482117,0.4686933159828186,1.1249999999999999e-05
2,0.77872334420681,0.3880537876061031,0.464939683675766,1.4999999999999999e-05
3,0.7230954617261887,0.3870073301451547,0.45775602757930756,1.875e-05
4,0.7393718659877777,0.38581142680985586,0.4455552101135254,2.2499999999999998e-05
5,0.7776405364274979,0.3845152812344687,0.42607226967811584,2.6249999999999998e-05
6,0.7067335024476051,0.3831813207694462,0.40185336768627167,2.9999999999999997e-05
7,0.7927516400814056,0.38179111906460356,0.383568599820137,3.375e-05
8,0.8276440501213074,0.38033537353788105,0.36782224476337433,3.75e-05
9,0.7719672620296478,0.3788296026842935,0.3572760075330734,4.125e-05
10,0.776487372815609,0.37731723274503437,0.3524249643087387,4.4999999999999996e-05
11,0.7855701595544815,0.3757067748478481,0.3504772186279297,4.875e-05
12,0.8093720749020576,0.37395565850394114,0.3516029864549637,5.2499999999999995e-05
13,0.7991410717368126,0.37196284532546997,0.3553299605846405,5.625e-05
14,0.806454099714756,0.36958729369299753,0.36031070351600647,5.9999999999999995e-05
15,0.788875550031662,0.3667499465601785,0.3684311807155609,6.374999999999999e-05
16,0.7642472386360168,0.3633392666067396,0.38303808867931366,6.75e-05
17,0.7709333971142769,0.35924037439482553,0.4060604125261307,7.125e-05
18,0.7932075336575508,0.35443935223988127,0.4347691386938095,7.5e-05
19,0.7631638124585152,0.34891633902277264,0.4604160487651825,7.5e-05
20,0.7727495804429054,0.3430278939860208,0.47556592524051666,7.499650184866957e-05
21,0.7915146574378014,0.336909328188215,0.4920661896467209,7.498600804732164e-05
22,0.7243959680199623,0.33069444979940144,0.5077548325061798,7.496852055376449e-05
23,0.6781635358929634,0.3245348504611424,0.516528993844986,7.494404263060604e-05
24,0.7549174726009369,0.31844205941472736,0.5255605280399323,7.491257884464522e-05
25,0.7435141652822495,0.3123922518321446,0.5281616449356079,7.487413506601985e-05
26,0.7188869789242744,0.30647939443588257,0.5301014482975006,7.482871846711157e-05
27,0.6998873800039291,0.3005271681717464,0.5271583199501038,7.477633752120763e-05
28,0.7163622975349426,0.2946829284940447,0.5194070339202881,7.471700200092006e-05
29,0.6893572062253952,0.2887700157506125,0.5172401368618011,7.46507229763624e-05
30,0.668437734246254,0.2834730190890176,0.5166995525360107,7.457751281308442e-05
31,0.6547009125351906,0.27814444048064096,0.5174465179443359,7.449738516976508e-05
32,0.6997080817818642,0.2725660502910614,0.5147180557250977,7.441035499566417e-05
33,0.6343209221959114,0.26702174970081877,0.5132454037666321,7.431643852783344e-05
34,0.6810578629374504,0.2621364082608904,0.5277062654495239,7.421565328808711e-05
35,0.6725826263427734,0.25751408083098276,0.5337302386760712,7.410801807973292e-05
