epoch,train_loss,validation_loss,feature_std,lr
0,0.7906470596790314,0.3906780311039516,0.4598117917776108,7.499999999999999e-06
1,0.8048490434885025,0.3901101861681257,0.4592355489730835,1.1249999999999999e-05
2,0.8026651963591576,0.3892907883439745,0.4574538767337799,1.4999999999999999e-05
3,0.7715418413281441,0.3882675724370139,0.4530351758003235,1.875e-05
4,0.7799155116081238,0.38708531856536865,0.4406091272830963,2.2499999999999998e-05
5,0.8207216337323189,0.3857727646827698,0.417459174990654,2.6249999999999998e-05
6,0.7830507159233093,0.38438612648418974,0.39557306468486786,2.9999999999999997e-05
7,0.8393088951706886,0.3829705161707742,0.3784642070531845,3.375e-05
8,0.7958778515458107,0.38151666096278597,0.3649103045463562,3.75e-05
9,0.7879235073924065,0.3800441878182547,0.35104186832904816,4.125e-05
10,0.8056102767586708,0.37854144828660147,0.3434994965791702,4.4999999999999996e-05
11,0.7399440109729767,0.37695346559797016,0.3426724225282669,4.875e-05
12,0.8128122761845589,0.37539932131767273,0.35240307450294495,5.2499999999999995e-05
13,0.8008160442113876,0.3732504206044333,0.34451186656951904,5.625e-05
14,0.7734436988830566,0.37097673756735666,0.3504532426595688,5.9999999999999995e-05
15,0.8019557595252991,0.36819702812603544,0.3586925119161606,6.374999999999999e-05
16,0.7862250283360481,0.36481807487351553,0.37257470190525055,6.75e-05
17,0.7477433234453201,0.3607675220285143,0.3954488933086395,7.125e-05
18,0.7087796926498413,0.35604313015937805,0.4259050041437149,7.5e-05
19,0.7955639064311981,0.35060861706733704,0.45752397179603577,7.5e-05
20,0.8032971173524857,0.34473789589745657,0.47825416922569275,7.499650184866957e-05
21,0.7273594588041306,0.33866870403289795,0.4978269636631012,7.498600804732164e-05
22,0.7187822982668877,0.33246560607637676,0.5133536756038666,7.496852055376449e-05
23,0.764492005109787,0.3262897644724165,0.5302818119525909,7.494404263060604e-05
24,0.7122095599770546,0.32009120072637287,0.5317225456237793,7.491257884464522e-05
25,0.7205878049135208,0.3139587215014866,0.5261340141296387,7.487413506601985e-05
26,0.7280586212873459,0.3078615963459015,0.5192995071411133,7.482871846711157e-05
27,0.6711312159895897,0.30168479681015015,0.5160149931907654,7.477633752120763e-05
28,0.71982591599226,0.2955337422234671,0.517655074596405,7.471700200092006e-05
29,0.6714479997754097,0.28951611263411386,0.517159104347229,7.46507229763624e-05
30,0.6902596354484558,0.2844200815473284,0.518222838640213,7.457751281308442e-05
31,0.6965907067060471,0.278657717364175,0.5152105093002319,7.449738516976508e-05
32,0.717073567211628,0.27275228926113676,0.5037655979394913,7.441035499566417e-05
33,0.6972446292638779,0.2674661363874163,0.5048150718212128,7.431643852783344e-05
34,0.6506932452321053,0.2625185676983425,0.5156813263893127,7.421565328808711e-05
35,0.6384730190038681,0.25773355790546965,0.5269810855388641,7.410801807973292e-05
36,0.6530969068408012,0.2530133958373751,0.5285311639308929,7.399355298406408e-05
37,0.6793330535292625,0.24828744786126272,0.5239762365818024,7.387227935661267e-05
38,0.6545862853527069,0.24363736382552556,0.5245085954666138,7.374421982316543e-05
39,0.6719405725598335,0.23958794134003775,0.5293868780136108,7.360939827554248e-05
40,0.6550786569714546,0.23591286369732448,0.5356618762016296,7.346783986713986e-05
41,0.6032143570482731,0.23210929759911128,0.5373394191265106,7.33195710082368e-05
42,0.6106845140457153,0.22827306602682387,0.5511241853237152,7.316461936106826e-05
43,0.6250750198960304,0.2246515644448144,0.5544545650482178,7.300301383466413e-05
44,0.6186898238956928,0.22110972021307265,0.5497640371322632,7.283478457945577e-05
45,0.6153223738074303,0.21797328974519456,0.5473934710025787,7.265996298165076e-05
46,0.6320360712707043,0.21498694377286093,0.5508951842784882,7.247858165737738e-05
47,0.6152666248381138,0.21203541329928807,0.55084228515625,7.229067444659941e-05
48,0.6278399080038071,0.2081392386129924,0.5411205291748047,7.209627640680269e-05
49,0.6036535054445267,0.20523413802896226,0.5362375676631927,7.189542380645448e-05
50,0.5967572629451752,0.20209695398807526,0.538573682308197,7.168815411823701e-05
51,0.5567011795938015,0.19966578696455275,0.545159637928009,7.147450601205614e-05
52,0.6354461759328842,0.19699964778763907,0.5451349318027496,7.125451934782692e-05
53,0.5951552502810955,0.19408899119922093,0.53797248005867,7.102823516803691e-05
54,0.6310630552470684,0.19178053098065512,0.5304070115089417,7.079569569008906e-05
55,0.6101548373699188,0.18903382974011557,0.5305905044078827,7.055694429842517e-05
56,0.5634654052555561,0.18690418132713862,0.5360640287399292,7.031202553643184e-05
57,0.6132689937949181,0.1848554185458592,0.5375528931617737,7.006098509813001e-05
58,0.5698165223002434,0.18251214708600724,0.5332747101783752,6.980386981964999e-05
59,0.536898773163557,0.18013461359909602,0.5288549959659576,6.954072767049332e-05
60,0.5755828879773617,0.1779134443828038,0.527961939573288,6.927160774458313e-05
61,0.5908011719584465,0.17575474083423615,0.5283675491809845,6.899656025110487e-05
62,0.6067202016711235,0.1738718173333577,0.5266418159008026,6.871563650513879e-05
63,0.6132654994726181,0.17194983788899013,0.5200274288654327,6.84288889180863e-05
64,0.6347466930747032,0.17018674101148332,0.5114936232566833,6.813637098789157e-05
65,0.5491010323166847,0.16850080021790095,0.5072759389877319,6.783813728906053e-05
66,0.603286623954773,0.16683614466871535,0.5095461010932922,6.753424346247905e-05
67,0.6223453693091869,0.1653364577463695,0.5119195580482483,6.722474620503218e-05
68,0.5672040097415447,0.16380463327680314,0.5141601264476776,6.690970325902617e-05
69,0.5706105306744576,0.1621893665620259,0.5104849934577942,6.658917340141574e-05
70,0.5438596978783607,0.160781272820064,0.5046271979808807,6.62632164328381e-05
71,0.5797801278531551,0.15943935087748937,0.5020148456096649,6.59318931664561e-05
72,0.5486824661493301,0.15808940146650588,0.499756395816803,6.55952654166124e-05
73,0.5686705932021141,0.15674711763858795,0.49483622610569,6.525339598729694e-05
74,0.5662833377718925,0.15561498701572418,0.4922635853290558,6.490634866042965e-05
75,0.5428448915481567,0.15461396319525583,0.48798254132270813,6.455418818396084e-05
