epoch,train_loss,validation_loss,feature_std,lr,train_fcmae,train_cross
0,1.3278500884771347,0.484622061252594,0.45838014781475067,1.875e-05,0.5231501422822475,0.8046999499201775
1,1.26278355717659,0.48025885224342346,0.45552052557468414,2.8125e-05,0.4922780245542526,0.7705055177211761
2,1.3211733996868134,0.47671496868133545,0.4478698670864105,3.75e-05,0.5228016152977943,0.7983717769384384
3,1.2460780590772629,0.47504571080207825,0.44396570324897766,4.6874999999999994e-05,0.48590758442878723,0.7601704970002174
4,1.3413055688142776,0.47438228130340576,0.4328255355358124,5.625e-05,0.5383687019348145,0.8029368668794632
5,1.3366166055202484,0.47395026683807373,0.4327310025691986,6.5625e-05,0.533571645617485,0.8030449599027634
6,1.3211505562067032,0.4726371765136719,0.4282268136739731,7.5e-05,0.5264630690217018,0.7946874648332596
7,1.3604494035243988,0.4719526469707489,0.4235985428094864,7.5e-05,0.5464125908911228,0.8140368238091469
8,1.2826112508773804,0.4708554148674011,0.42889873683452606,7.497813833873152e-05,0.5067466273903847,0.7758646458387375
9,1.2712813019752502,0.469681978225708,0.42580536007881165,7.491257884464522e-05,0.5022476054728031,0.7690336853265762
10,1.2580798715353012,0.46914875507354736,0.426040843129158,7.480339795717854e-05,0.4936656728386879,0.7644142135977745
11,1.3193614929914474,0.46885478496551514,0.43139584362506866,7.46507229763624e-05,0.524469718337059,0.7948917895555496
12,1.2997240722179413,0.4679824709892273,0.43142881989479065,7.445473191439487e-05,0.5173626318573952,0.7823614552617073
13,1.269289344549179,0.4671962857246399,0.4277309328317642,7.421565328808711e-05,0.5008734315633774,0.7684159055352211
14,1.3022743612527847,0.46680939197540283,0.4267209619283676,7.393376585242279e-05,0.5172758810222149,0.7849984839558601
15,1.1809752732515335,0.4660797417163849,0.43040555715560913,7.360939827554248e-05,0.4582348093390465,0.7227404341101646
16,1.3308490216732025,0.4648180603981018,0.43082284927368164,7.324292875553102e-05,0.5331386961042881,0.7977103516459465
17,1.2692346572875977,0.4639759659767151,0.4308489263057709,7.283478457945577e-05,0.5009114630520344,0.7683231979608536
18,1.2482763975858688,0.46339547634124756,0.432537242770195,7.238544162516873e-05,0.4908093884587288,0.7574669867753983
19,1.313100442290306,0.4626302719116211,0.43507495522499084,7.189542380645448e-05,0.5211001560091972,0.7920002490282059
20,1.1586011797189713,0.46201589703559875,0.43491363525390625,7.136530246216997e-05,0.4439885802567005,0.714612603187561
21,1.2714902609586716,0.4614144563674927,0.4338434934616089,7.079569569008906e-05,0.5037716627120972,0.767718605697155
22,1.2344633787870407,0.46082937717437744,0.4355505704879761,7.018726762622817e-05,0.48527929186820984,0.7491840869188309
23,1.2774773836135864,0.4603484869003296,0.4376669377088547,6.954072767049332e-05,0.5071610249578953,0.7703163549304008
24,1.283661425113678,0.45951294898986816,0.4371596723794937,6.885682965955165e-05,0.5084466226398945,0.7752148061990738
25,1.296261578798294,0.4584573805332184,0.43335501849651337,6.813637098789157e-05,0.5157646983861923,0.7804968804121017
26,1.2076876312494278,0.45782262086868286,0.43164172768592834,6.738019167809642e-05,0.4725009314715862,0.7351867109537125
27,1.1966483741998672,0.4574611186981201,0.43474896252155304,6.658917340141574e-05,0.46365587785840034,0.732992485165596
28,1.3445605486631393,0.4568554162979126,0.4350278675556183,6.576423844977604e-05,0.5425680726766586,0.8019924759864807
