epoch,train_loss,validation_loss,train_macro_dice,validation_macro_dice,validation_dice_femur,validation_dice_tibia,validation_dice_patella,validation_dice_fibula,lr,elapsed_seconds
0,0.5101995676062828,0.4007337604250227,0.18986068665981293,0.29224830865859985,0.48403283953666687,0.5417481064796448,0.08925046026706696,0.053961869329214096,9.98458666866564e-05,55.3
1,0.36749097081117854,0.3497750631400517,0.374510258436203,0.4086124300956726,0.5995343327522278,0.5814689993858337,0.27056699991226196,0.18287943303585052,9.938441702975689e-05,95.2
2,0.33540306049723956,0.3473446922642844,0.4332214891910553,0.41815873980522156,0.6305079460144043,0.5717405676841736,0.30442601442337036,0.1659604012966156,9.861849601988383e-05,134.7
3,0.32654589622519736,0.33430600592068266,0.45381036400794983,0.43030500411987305,0.6119983792304993,0.5959734916687012,0.32921531796455383,0.18403290212154388,9.755282581475767e-05,174.0
4,0.31208999316359676,0.3247460914509637,0.47559213638305664,0.44509631395339966,0.6420167088508606,0.6209093928337097,0.33183327317237854,0.18562589585781097,9.619397662556432e-05,214.0
5,0.3020006404366604,0.3227170322622572,0.4941234588623047,0.46196264028549194,0.641890823841095,0.6312126517295837,0.3397136330604553,0.2350335419178009,9.455032620941837e-05,252.8
6,0.29625228740448173,0.3150458559393883,0.5062236785888672,0.46047112345695496,0.6514120697975159,0.6278198957443237,0.3595639169216156,0.20308847725391388,9.26320082177046e-05,291.4
7,0.2895712654951007,0.3167645995106016,0.515181839466095,0.4697361886501312,0.6391319036483765,0.6503866314888,0.3622930943965912,0.22713305056095123,9.045084971874737e-05,330.6
8,0.28610248794389326,0.31340234513793674,0.5228614211082458,0.4632085859775543,0.6402950286865234,0.632213294506073,0.3722948133945465,0.20803114771842957,8.802029828000154e-05,370.1
9,0.2801870301712391,0.3084201557295663,0.5289192199707031,0.4823816418647766,0.6647425889968872,0.6463132500648499,0.3678756654262543,0.25059494376182556,8.535533905932737e-05,408.9
10,0.27458424069160636,0.3063972879733358,0.5423995852470398,0.4757519066333771,0.655219554901123,0.6612405180931091,0.37377339601516724,0.21277417242527008,8.247240241650918e-05,448.6
11,0.2694709602483483,0.2985686223421778,0.5487310886383057,0.4950500428676605,0.6643751263618469,0.6667237877845764,0.38416174054145813,0.2649395167827606,7.938926261462365e-05,487.6
12,0.26703478742477504,0.298118565763746,0.5568038821220398,0.49168112874031067,0.670335590839386,0.6674062609672546,0.37723103165626526,0.2517516613006592,7.612492823579742e-05,527.0
13,0.2603248610746029,0.29907895837511334,0.5663095712661743,0.4913581609725952,0.6610574126243591,0.659110963344574,0.38659051060676575,0.258673757314682,7.269952498697731e-05,565.7
14,0.2589220716509708,0.29926275461912155,0.5675337910652161,0.4890846312046051,0.6756293177604675,0.6700215339660645,0.38451579213142395,0.2261718362569809,6.913417161825447e-05,604.0
15,0.25640086968277775,0.3008408769965172,0.5724337100982666,0.48553889989852905,0.6597989797592163,0.6537313461303711,0.36692970991134644,0.2616955637931824,6.545084971874736e-05,643.9
16,0.2559282356916472,0.3016135607446943,0.5746407508850098,0.4872139096260071,0.6695390343666077,0.6554446220397949,0.3710100054740906,0.2528619170188904,6.167226819279526e-05,682.9
17,0.2510023335384768,0.29979388947997776,0.5832787752151489,0.4925331771373749,0.6774005889892578,0.6488814353942871,0.3968208134174347,0.24702994525432587,5.7821723252011525e-05,722.4
18,0.24776225970234983,0.2957035292472158,0.5896047949790955,0.501270055770874,0.6805070042610168,0.6435436010360718,0.4026201069355011,0.2784094512462616,5.392295478639223e-05,761.0
19,0.24335834002772042,0.2995589002966881,0.5949704051017761,0.4926972985267639,0.6692559123039246,0.6540971398353577,0.3616950213909149,0.28574109077453613,4.999999999999998e-05,800.9
20,0.24287003521309342,0.2949918955564499,0.5978205800056458,0.4998438358306885,0.6775146126747131,0.670634925365448,0.3941395580768585,0.25708621740341187,4.607704521360774e-05,840.4
