index,cohort,arm,dice_macro,dice_macro,dice_macro,assd_mm_macro,assd_mm_macro,assd_mm_macro
,,,count,mean,median,count,mean,median
0,fractured,plain_prelu_style,13,0.32973650704704666,0.3386863360407302,13,15.721071574445762,15.231740444233097
1,fractured,plain_unet_style,13,0.3362788550301933,0.3328500733488537,13,15.465615250830806,15.278260265697275
2,fractured,residual_relu_style,13,0.37724301382586184,0.405404263912076,13,12.19389996686982,12.277573987079766
3,fractured,residual_vnet_style,13,0.36545695663441397,0.390433074585644,13,12.304298110461804,12.428087281986231
4,healthy,plain_prelu_style,30,0.43914488551697084,0.4389668404286799,30,12.914144168647491,12.220633880922469
5,healthy,plain_unet_style,30,0.43670418713361286,0.44178899001695127,30,13.19244277764696,12.12638768074589
6,healthy,residual_relu_style,30,0.488596471515769,0.4909840372902986,30,11.11727293708849,8.62381218089078
7,healthy,residual_vnet_style,30,0.48015424351405456,0.482678024341845,30,11.40473980823077,9.154662232302918
