arm,empty_prediction_femur,false_bridge_femur,empty_prediction_tibia,false_bridge_tibia,empty_prediction_patella,false_bridge_patella,empty_prediction_fibula,false_bridge_fibula
plain_prelu_style,0.0,0.1744186046511628,0.0,0.20930232558139536,0.0,0.06976744186046512,0.0,0.16279069767441862
plain_unet_style,0.0,0.1744186046511628,0.0,0.20930232558139536,0.0,0.06976744186046512,0.0,0.16279069767441862
residual_relu_style,0.0,0.1744186046511628,0.0,0.20930232558139536,0.011627906976744186,0.06976744186046512,0.0,0.13953488372093023
residual_vnet_style,0.0,0.1744186046511628,0.0,0.20930232558139536,0.011627906976744186,0.06976744186046512,0.0,0.16279069767441862
