arm,seed,n_subjects,dice_macro_mean,assd_mm_macro_mean,dice_macro_mean_mean,dice_macro_mean_std,dice_macro_mean_count,assd_mm_macro_mean_mean,assd_mm_macro_mean_std,assd_mm_macro_mean_count
plain_unet_style,42,9,0.4500924642496732,11.387168674931607,0.4500924642496732,,1,11.387168674931607,,1
residual_vnet_style,42,9,0.4813145930646025,8.823583846814167,0.4813145930646025,,1,8.823583846814167,,1
residual_relu_style,42,9,0.49508900394961786,8.509802695036269,0.49508900394961786,,1,8.509802695036269,,1
plain_prelu_style,42,9,0.4413051123689449,12.11278901771552,0.4413051123689449,,1,12.11278901771552,,1
