metric,contrast,co_primary,raw_effect_mean,favourable_effect_mean,favourable_effect_median,wilcoxon_statistic,p_raw,mean_favourable_effect,ci95_low,ci95_high,resamples,p_holm
dice_macro,decoder_family_V_minus_U,False,0.036246056290555016,0.036246056290555016,0.04463044632107563,36.0,5.791662260890007e-07,0.036239547223508764,0.02596906054352206,0.04612150620223953,10000,
dice_macro,residual_main,True,0.043412447448734126,0.043412447448734126,0.04855650694581372,28.0,1.7264392226934433e-07,0.043386977232002105,0.03260349913687734,0.05384390816581108,10000,6.905756890773773e-07
dice_macro,activation_main,True,-0.007166391158179098,-0.007166391158179098,-0.008072546054477409,65.0,1.910841092467308e-05,-0.007147430008493345,-0.010681956338196016,-0.0031302581735324956,10000,3.821682184934616e-05
dice_macro,residual_activation_interaction,False,-0.007426660591743565,-0.007426660591743565,-0.007009231703363206,135.0,0.0045909188920632005,-0.00745879938751665,-0.014519179876047944,0.0006409867216644031,10000,
assd_mm_macro,decoder_family_V_minus_U,False,-1.7124814534636463,1.7124814534636463,2.7441114413419676,34.0,4.336470738053322e-07,1.7022525094299314,-0.848451542800603,3.191348785291883,10000,
assd_mm_macro,residual_main,True,-1.9730139472479142,1.9730139472479142,3.1586504427359756,34.0,4.336470738053322e-07,1.9622156343631045,-0.6308745613056903,3.4729972539399645,10000,1.3009412214159966e-06
assd_mm_macro,activation_main,True,0.2605324937842682,-0.2605324937842682,-0.2792070127337536,81.0,8.89236107468605e-05,-0.2599631249331732,-0.3629234162609161,-0.14952380569452256,10000,8.89236107468605e-05
assd_mm_macro,residual_activation_interaction,False,-0.03409525595224928,0.03409525595224928,-0.08590446499301585,273.0,0.6853143798653036,0.03307631968171841,-0.22614234647472306,0.33619305217155865,10000,
