epoch,loss,lr,secs
0,3.5161007620253653,5.9999999999999995e-05,93.2
1,3.155974163199371,8.999999999999999e-05,164.0
2,3.0838809193305248,0.00011999999999999999,234.6
3,3.044869404918743,0.00015,305.4
4,3.0296657535265075,0.00017999999999999998,376.0
5,3.017744464694329,0.00020999999999999998,446.7
6,3.0114517346867977,0.00023999999999999998,517.6
7,3.009183573272993,0.00027,588.3
8,3.0042869639846512,0.0003,660.2
9,3.0184720372253993,0.0003,731.5
10,3.015338920197397,0.000299962235241376,803.3
11,2.9998450009328015,0.0002998489599811972,874.4
12,2.9957301571684063,0.00029966023125696837,945.3
13,2.984724521636963,0.00029939614409928584,1016.1
14,2.9771362790521585,0.0002990568314839864,1086.8
15,2.9707578128238894,0.0002986424642651902,1157.9
16,2.9622389190601854,0.00029815325108927063,1228.9
17,2.960254084389165,0.00029758943828979444,1300.2
18,2.9559524599111304,0.0002969513097634853,1371.1
19,2.999079501853799,0.0002962391868272735,1442.6
20,3.024847574953763,0.000295453428056503,1513.1
21,2.9902760667620965,0.00029459442910437797,1583.8
22,2.9749051399950712,0.00029366262250273955,1654.4
23,2.9837242207437193,0.00029265847744427303,1725.3
24,3.0041228015467807,0.0002915824995462551,1796.2
25,3.0193036952108705,0.00029043523059596053,1867.0
26,2.981058903460233,0.0002892172482778558,1938.0
27,2.9680533229180104,0.0002879291658827176,2009.4
28,2.9656330414538115,0.00028657163199882237,2079.9
29,2.9624209089099236,0.0002851453301853628,2150.4
30,2.9615972177037655,0.00028365097862825513,2220.9
31,2.9587430369179204,0.00028208932977851067,2291.5
32,2.957212317664668,0.0002804611699733543,2362.3
33,2.9531698046990162,0.0002787673190402799,2433.1
34,2.9554917137577847,0.0002770086298842426,2504.1
35,2.950618172591587,0.0002751859880581954,2574.7
36,2.9541067132410013,0.00027330031131718647,2645.7
37,2.956212893971857,0.0002713525491562421,2716.2
38,2.9518138282703905,0.00026934368233226714,2786.7
39,2.951056309466092,0.00026727472237020447,2857.3
40,2.950276923629473,0.00026514671105370166,2927.9
41,2.9533263332438917,0.00026296071990054165,2998.8
42,2.948862273738069,0.0002607178496231011,3069.6
43,2.948127917523654,0.0002584192295741087,3140.5
44,2.9500181180126264,0.00025606601717798207,3211.4
45,2.9516881501899577,0.0002536593973480297,3282.2
46,2.9508858581758894,0.00025120058188981116,3352.7
47,2.9480091175943053,0.0002486908088909569,3423.2
48,2.95025638364396,0.0002461313420977536,3494.0
49,2.946981821420058,0.00024352347027881003,3564.7
50,2.946745260706488,0.00024086850657612297,3635.7
51,2.948709541896604,0.00023816778784387094,3706.8
52,2.9442636876736046,0.00023542267397526776,3777.5
53,2.951609930902157,0.00023263454721781537,3849.0
54,2.9960183287566564,0.00022980481147730046,3920.6
55,3.0193524450626015,0.0002269348916108859,3991.1
56,3.0026623977805085,0.000224026232709652,4061.8
57,2.9807081312503456,0.0002210802993709498,4132.4
58,2.9667687191153473,0.00021809857496093199,4203.1
59,2.95674023988112,0.00021508256086763368,4274.1
60,2.956215314145358,0.00021203377574497808,4344.9
61,2.958735227584839,0.00020895375474808852,4415.4
62,2.9553386715223207,0.00020584404876029176,4486.5
63,2.9552550270872295,0.0002027062236122014,4557.2
64,2.9565017043419606,0.00019954185929327506,4627.8
65,2.955118287284419,0.0001963525491562421,4698.6
66,2.956837730587653,0.00019313989911480257,4769.3
67,2.9510058412012063,0.00018990552683500125,4840.0
68,2.9536696245085516,0.00018665106092068408,4910.9
69,2.952360616540009,0.00018337814009344714,4981.7
70,2.950000857407192,0.00018008841236749092,5052.2
71,2.949676959019787,0.00017678353421979548,5123.3
72,2.9475147634182335,0.00017346516975603462,5194.1
73,2.951599328023083,0.00017013498987264832,5264.8
74,2.9449534146290905,0.00016679467141549617,5335.3
75,2.9464289827166863,0.00016344589633551502,5406.2
76,2.9467281665442124,0.00016009035084180596,5477.4
77,2.94549726990034,0.00015672972455257723,5548.1
78,2.9467233037048914,0.00015336570964437075,5618.7
79,2.946542114581702,0.00015,5689.4
80,2.9441940289623334,0.00014663429035562925,5761.1
81,2.945314069963851,0.0001432702754474228,5832.1
82,2.9429100504461325,0.00013990964915819404,5903.0
83,2.9462740421295166,0.00013655410366448498,5974.0
84,2.945940040192514,0.0001332053285845038,6044.8
85,2.944037711845254,0.0001298650101273517,6115.7
86,2.9455739282212168,0.00012653483024396533,6186.3
87,2.9458977951193757,0.0001232164657802045,6257.0
88,2.942818187317758,0.00011991158763250908,6327.7
89,2.9453025673920252,0.00011662185990655284,6399.7
90,2.9430990534008674,0.00011334893907931586,6470.6
91,2.941932849164279,0.00011009447316499873,6541.3
92,2.9446029888009124,0.0001068601008851974,6612.3
93,2.9428962851470373,0.0001036474508437579,6683.1
94,2.944240057243491,0.00010045814070672498,6754.0
95,2.947811486586085,9.729377638779857e-05,6824.5
96,2.9415619868152545,9.415595123970821e-05,6895.0
97,2.9437659686466433,9.104624525191145e-05,6967.0
98,2.942019318634609,8.796622425502192e-05,7038.8
99,2.9428133469707562,8.491743913236628e-05,7109.6
100,2.9409606726664417,8.190142503906798e-05,7180.4
101,2.945522483789696,7.89197006290502e-05,7251.5
102,2.9408069691568053,7.597376729034797e-05,7322.5
103,2.9411628651169113,7.30651083891141e-05,7393.3
104,2.9417034859927194,7.019518852269953e-05,7463.9
105,2.9434086556704537,6.736545278218463e-05,7534.4
106,2.940374941196082,6.45773260247322e-05,7605.4
107,2.9396940717157327,6.183221215612904e-05,7676.1
108,2.9402487592877082,5.913149342387703e-05,7747.2
109,2.9408449901724762,5.6476529721189974e-05,7817.9
110,2.941379682073053,5.3868657902246374e-05,7888.9
111,2.93491371172779,5.130919110904311e-05,7959.5
112,2.9368125717594937,4.879941811018885e-05,8030.2
113,2.935701014860621,4.63406026519703e-05,8100.8
114,2.9388884013553835,4.3933982822017876e-05,8171.4
115,2.9411708768808618,4.158077042589128e-05,8242.6
116,2.9404090350528933,3.9282150376898916e-05,8313.4
117,2.9405999768455073,3.7039280099458366e-05,8384.5
118,2.9392840097535333,3.485328894629833e-05,8455.3
119,2.9392607976805487,3.2725277629795526e-05,8525.9
120,2.935934970963676,3.0656317667732864e-05,8596.6
121,2.942177561094176,2.8647450843757897e-05,8667.2
122,2.942254939169254,2.6699688682813525e-05,8737.8
123,2.939746618270874,2.48140119418046e-05,8808.2
124,2.9378922120580135,2.299137011575738e-05,8879.6
125,2.93688628358661,2.1232680959720082e-05,8950.3
126,2.9374428425195083,1.9538830026645697e-05,9021.5
127,2.9380369231386005,1.79106702214893e-05,9092.5
128,2.9377414505436734,1.634902137174483e-05,9163.1
129,2.9378382394898614,1.4854669814637143e-05,9233.7
130,2.936954331847857,1.3428368001177619e-05,9304.4
131,2.9389035206920697,1.2070834117282412e-05,9375.1
132,2.9388625576811016,1.0782751722144172e-05,9445.6
133,2.9406253346857034,9.564769404039419e-06,9517.7
134,2.9399667056101673,8.417500453744864e-06,9588.7
135,2.9343238551661655,7.34152255572697e-06,9659.5
136,2.937338797551281,6.337377497260432e-06,9730.5
137,2.935324147062482,5.405570895622013e-06,9801.1
138,2.9394414334926964,4.546571943496968e-06,9871.9
139,2.9345491022433876,3.760813172726457e-06,9942.3
140,2.9341894860537545,3.0486902365146783e-06,10012.8
141,2.935683124470261,2.4105617102055496e-06,10083.7
142,2.9349505811367393,1.8467489107293509e-06,10154.7
143,2.93798477244827,1.3575357348097948e-06,10225.5
144,2.9373586852595492,9.431685160136093e-07,10296.4
145,2.94202854048531,6.038559007141397e-07,10367.0
146,2.935438241598741,3.3976874303158763e-07,10437.8
147,2.933630407981153,1.5104001880281157e-07,10508.3
148,2.9350145223005764,3.77647586240204e-08,10579.1
149,2.9367354455983863,0.0,10649.7
