epoch,train_loss,validation_loss,train_macro_dice,validation_macro_dice,validation_dice_femur,validation_dice_tibia,validation_dice_patella,validation_dice_fibula,lr,elapsed_seconds
0,0.47367206146550733,0.3846379263060434,0.20520246028900146,0.32541680335998535,0.6134948134422302,0.5208379626274109,0.12366398423910141,0.043670445680618286,9.98458666866564e-05,58.5
1,0.37043727622475736,0.3380705160754068,0.36802545189857483,0.42805245518684387,0.6521368026733398,0.5985632538795471,0.28413668274879456,0.17737317085266113,9.938441702975689e-05,99.0
2,0.33898046058277753,0.32307885587215424,0.4275635778903961,0.4489583373069763,0.6453971862792969,0.6335756182670593,0.2890283167362213,0.22783219814300537,9.861849601988383e-05,139.3
3,0.3181054231732391,0.3119313599807875,0.4638691544532776,0.4782646894454956,0.6677157282829285,0.6404901146888733,0.3816325068473816,0.2232203483581543,9.755282581475767e-05,179.5
4,0.3076766958070356,0.3026132679411343,0.483357310295105,0.4896644949913025,0.690207839012146,0.6484186053276062,0.3759949803352356,0.2440367043018341,9.619397662556432e-05,219.2
5,0.2977153281139773,0.29558955132961273,0.50023353099823,0.49953290820121765,0.6891642808914185,0.6526758074760437,0.386141836643219,0.2701498568058014,9.455032620941837e-05,258.7
6,0.2963488396517066,0.2925885830606733,0.4999428391456604,0.5107439160346985,0.6904224157333374,0.6609510779380798,0.41826996207237244,0.2733323276042938,9.26320082177046e-05,298.4
7,0.28643247658430143,0.2938828830208097,0.5203772783279419,0.5107674598693848,0.6923524737358093,0.6570650339126587,0.4250038266181946,0.2686487138271332,9.045084971874737e-05,337.9
8,0.28380043215529865,0.2972791258777891,0.5225527286529541,0.49735379219055176,0.6947574615478516,0.6662112474441528,0.3912324011325836,0.2372140884399414,8.802029828000154e-05,376.9
9,0.2768920008526292,0.28758066254002707,0.5355982780456543,0.5176779627799988,0.7034426331520081,0.680308997631073,0.42116037011146545,0.2657999098300934,8.535533905932737e-05,415.8
10,0.2744830191828484,0.2767375239304134,0.5413158535957336,0.5314449667930603,0.7115296721458435,0.6732252836227417,0.44742175936698914,0.29360321164131165,8.247240241650918e-05,455.1
11,0.2658828299405963,0.2761247434786388,0.5537304282188416,0.5340109467506409,0.7072339653968811,0.6830363273620605,0.4475873112678528,0.2981863021850586,7.938926261462365e-05,495.0
12,0.2675431110831194,0.2777794503739902,0.549885630607605,0.5371554493904114,0.7151246070861816,0.6788725256919861,0.4438190162181854,0.31080564856529236,7.612492823579742e-05,534.3
13,0.26255128723244336,0.2699867103781019,0.5589419603347778,0.5453650951385498,0.7141766548156738,0.6945934295654297,0.4602344036102295,0.312455952167511,7.269952498697731e-05,573.9
14,0.25427670915459477,0.26779526472091675,0.5753166079521179,0.5517178773880005,0.7213168740272522,0.7002180814743042,0.4717493951320648,0.31358715891838074,6.913417161825447e-05,613.3
15,0.25354036134342817,0.2679404414125851,0.5773427486419678,0.5471367835998535,0.7193437218666077,0.6882219910621643,0.4641227722167969,0.3168587386608124,6.545084971874736e-05,652.5
16,0.25063756524130354,0.2652067414351872,0.5819159150123596,0.5570921301841736,0.7168900370597839,0.6983238458633423,0.48206713795661926,0.3310876190662384,6.167226819279526e-05,691.3
17,0.24678785717764565,0.2674361744097301,0.5891608595848083,0.5410771369934082,0.7205001711845398,0.6962630152702332,0.4534032940864563,0.2941420376300812,5.7821723252011525e-05,731.3
18,0.2437922514455263,0.26494305580854416,0.5933910608291626,0.5546190142631531,0.7112960815429688,0.6988386511802673,0.46650129556655884,0.34184005856513977,5.392295478639223e-05,770.4
19,0.24358693770197934,0.2678642634834562,0.5943503379821777,0.5468875169754028,0.7064171433448792,0.6942407488822937,0.46552592515945435,0.3213662803173065,4.999999999999998e-05,808.7
20,0.2391095660453619,0.2667142578533718,0.6018255352973938,0.546409010887146,0.7180896401405334,0.6988416314125061,0.4695611298084259,0.29914379119873047,4.607704521360774e-05,848.4
21,0.2355453212593877,0.26374416798353195,0.6083407998085022,0.5505166053771973,0.7214802503585815,0.6886653900146484,0.4674833416938782,0.32443729043006897,4.217827674798845e-05,887.4
22,0.23605139172354409,0.26140210883958,0.6043756008148193,0.553360641002655,0.7259250283241272,0.7005378007888794,0.4715714454650879,0.31540822982788086,3.832773180720472e-05,926.1
23,0.2319041611843331,0.26247616005795343,0.6141387820243835,0.5516442060470581,0.7278311848640442,0.7012941241264343,0.46111583709716797,0.31633564829826355,3.4549150281252616e-05,964.9
24,0.2303917955520541,0.26096783365522114,0.6165884733200073,0.5540350079536438,0.7246089577674866,0.6977225542068481,0.472055584192276,0.32175299525260925,3.08658283817455e-05,1003.7
