arm,subset,pass,gate_pass,resume_pass,memory_pass,failure_reasons,bce_pos_weight_by_bone,resume_parameter_sha256,resume_logits_sha256,config_sha256,feature_cache_sha256,parameters,epochs_completed,global_updates,peak_gpu_bytes,peak_host_bytes,total_gpu_bytes,gpu_headroom_fraction,wall_seconds,qa_figure,checkpoint_path,checkpoint_sha256,minimum_dice_femur,minimum_dice_tibia,minimum_dice_patella,minimum_dice_fibula
plain_unet_style,subset_1_healthy,False,False,True,True,['overfit_dice_gate_failed'],"{'femur': 41.4819221496582, 'tibia': 55.12253952026367, 'patella': 470.0054931640625, 'fibula': 577.864013671875}",dacfdbc2b4e331db0fa1b27c071433b2e6a01973511c526360d5b01a8c84a155,17a979cbf01fa939a084a924459d07d19bca86eddcdb1285bc9bc5640c964578,bcde7717ec21b3f6c684d01ca84ebd07157ec266240b0c82489f40ece74cf0d5,84a7976eb1e4e40a4a37c5abbdbf3c4b6783219826ea5772861fd4b905eeaa98,8429956,350,350,8382817280,2483433472,23670685696,0.6458565929327271,696.8,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/plain_unet_style/subset_1_healthy/capacity_curve.png,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/plain_unet_style/subset_1_healthy/decoder_gate_failed.pth,6ee521109ef57b9d1a826947a0d11d04d6aba72686bec064c75ce0b29c3f8ed3,0.9340195059776306,0.9546211361885071,0.7641153335571289,0.7807604670524597
residual_vnet_style,subset_1_healthy,True,True,True,True,[],"{'femur': 41.4819221496582, 'tibia': 55.12253952026367, 'patella': 470.0054931640625, 'fibula': 577.864013671875}",a24b628a38c662fd3d704b38753f41c6251748bbda028752fe8fc86f5393cc96,d28a9c542a5d1819221a22f65d687e8992f10af5d9a644a9830a79f12e64af71,7ad8a2f4051420f9f7eb34bb8c4ae566cb6c42e90042023f1aaebc1176210438,84a7976eb1e4e40a4a37c5abbdbf3c4b6783219826ea5772861fd4b905eeaa98,8605476,121,121,8418832384,2514407424,23670685696,0.6443350863543991,247.8,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/residual_vnet_style/subset_1_healthy/capacity_curve.png,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/residual_vnet_style/subset_1_healthy/decoder_gate_pass.pth,96a50ca98652b5aecb94495827fd8a20d1a2534d7ff224c8fbab4121ea4eaa0b,0.944416344165802,0.9065799117088318,0.9143414497375488,0.9143496751785278
residual_relu_style,subset_1_healthy,True,True,True,True,[],"{'femur': 41.4819221496582, 'tibia': 55.12253952026367, 'patella': 470.0054931640625, 'fibula': 577.864013671875}",ee0b183a5ec363e1a31068561a1e900dfd39b76dd50d20e43f1e66a496126fe4,ad8f3f078d67cc4d179f9a249e3383ace62957f514fc71e22fb0fe3ef959a96a,910533f99bbd868d594a8c85db02b7862b3e42d40e84737e7803ed9eadd423d4,84a7976eb1e4e40a4a37c5abbdbf3c4b6783219826ea5772861fd4b905eeaa98,8604516,141,141,8385980416,2519609344,23670685696,0.6457229619918823,290.5,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/residual_relu_style/subset_1_healthy/capacity_curve.png,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/residual_relu_style/subset_1_healthy/decoder_gate_pass.pth,c3ffbc2e66bfec5883b26ce78109a6bf95846d2ff6712d85520733674714b280,0.9446917176246643,0.9166133999824524,0.9675707221031189,0.9441498517990112
plain_prelu_style,subset_1_healthy,False,False,True,True,['overfit_dice_gate_failed'],"{'femur': 41.4819221496582, 'tibia': 55.12253952026367, 'patella': 470.0054931640625, 'fibula': 577.864013671875}",00bc5a72dcc1a4b42a9eb48153cba268811bfd5bed954034d0cb35d70e350738,fad25420ba25a57ba56164ad7448731084afbee710309aa5689e89c0fec5aac0,f64174bd92e04ab229a04242d1633c7cb6bf1e51f770c8f42ab10740296a54c8,84a7976eb1e4e40a4a37c5abbdbf3c4b6783219826ea5772861fd4b905eeaa98,8430916,350,350,8416521216,2519609344,23670685696,0.6444327247595422,695.1,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/plain_prelu_style/subset_1_healthy/capacity_curve.png,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/plain_prelu_style/subset_1_healthy/decoder_gate_failed.pth,cff08126fca7adcc392fe75f6bd28bf6320cc05d6b2b45d19d5c418a1de80639,0.9537011981010437,0.9529862403869629,0.8040087819099426,0.8435225486755371
plain_unet_style,subset_2_mixed,True,True,True,True,[],"{'femur': 43.12925720214844, 'tibia': 47.87561798095703, 'patella': 518.780517578125, 'fibula': 429.51068115234375}",516d4c0e0936d7279930a12056176660d6aa0f28540b444eb1da4cf2399eb1f0,9bb377531356e2e5851aae5cc5fd2fb3149babd0c01760ef220e8d95a91a0c06,5b73bdbd58cac96c362b31ab0c6f99c503dff66babaa30c8dc14ab4d98c9d046,84a7976eb1e4e40a4a37c5abbdbf3c4b6783219826ea5772861fd4b905eeaa98,8429956,251,502,8383996928,2521948160,23670685696,0.6458067571140631,996.5,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/plain_unet_style/subset_2_mixed/capacity_curve.png,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/plain_unet_style/subset_2_mixed/decoder_gate_pass.pth,0cfcd75971a501369f8320f71fc1097ee5965e90cf0fcca5c9a5ad056706e6e8,0.9379332065582275,0.916767954826355,0.9196377396583557,0.9137100577354431
residual_vnet_style,subset_2_mixed,True,True,True,True,[],"{'femur': 43.12925720214844, 'tibia': 47.87561798095703, 'patella': 518.780517578125, 'fibula': 429.51068115234375}",c1e070eaed3268da432948d3ce141198b00130d6ead18263e2dac35706390348,7abab9eb03af664478f31a2fe59f96b788cf7a0a873ee95ad2f0992628a2684c,2fc25ca5518c205234ffd0e94848459db6ff8811394f2071108b2cbbc4dae51b,84a7976eb1e4e40a4a37c5abbdbf3c4b6783219826ea5772861fd4b905eeaa98,8605476,181,362,8420077568,2530308096,23670685696,0.6442824818791426,734.3,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/residual_vnet_style/subset_2_mixed/capacity_curve.png,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/residual_vnet_style/subset_2_mixed/decoder_gate_pass.pth,6d7f62a2cb68e644c90dff49f7f366280e09d0456f1d7a30d0e03734587d479a,0.9478187561035156,0.9148705005645752,0.9267740249633789,0.933600902557373
residual_relu_style,subset_2_mixed,True,True,True,True,[],"{'femur': 43.12925720214844, 'tibia': 47.87561798095703, 'patella': 518.780517578125, 'fibula': 429.51068115234375}",f56f46a761b3654169b42ab8b04d207fb33090f69943b61d39755c64689924fa,887bb64123e1007503e0f703e68de3288f87ea00eefb9b106b40073b47f59338,58463511f3386f6c4637a77bb6419ae0708146b2bfb5df677398a93cb9f844d7,84a7976eb1e4e40a4a37c5abbdbf3c4b6783219826ea5772861fd4b905eeaa98,8604516,161,322,8386504704,2535727104,23670685696,0.6457008127391427,663.3,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/residual_relu_style/subset_2_mixed/capacity_curve.png,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/residual_relu_style/subset_2_mixed/decoder_gate_pass.pth,e7aeb5fe4312220e81fc18264d9dcda331715d93946ceb9d348b83fff7c115c6,0.9394214749336243,0.9192730188369751,0.9234795570373535,0.9053925275802612
plain_prelu_style,subset_2_mixed,True,True,True,True,[],"{'femur': 43.12925720214844, 'tibia': 47.87561798095703, 'patella': 518.780517578125, 'fibula': 429.51068115234375}",f6494aee1351c2bded04ff800186ae75cad00aacb051f36d57aae4982a899db8,a601eb2205742e8edf4487c6e1d1c7956b1a96751b389e8c90d926be666cdcf3,5de06a97f925e2a0ca53d816c1571ba66b8a6e75d9af8742de9b33951f87d8d0,84a7976eb1e4e40a4a37c5abbdbf3c4b6783219826ea5772861fd4b905eeaa98,8430916,261,522,8415931392,2538352640,23670685696,0.6444576426688742,1036.8,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/plain_prelu_style/subset_2_mixed/capacity_curve.png,/home/project/xray2mesh/Marcus_Chan_Zheng_Shao_CP2_24020059/models/decoders/foundation_stage2_v1/fold_0/plain_prelu_style/subset_2_mixed/decoder_gate_pass.pth,c146f64abcc9c4722a39bdb58a2e820671550c1d1f2e63bb34a7156a23db9251,0.9391191005706787,0.9084100127220154,0.9330310821533203,0.9047295451164246
