epoch,train_loss,val_loss,val_dice,val_iou,lr,secs
0,0.7240451004918061,0.7058419997875507,0.4123191420848553,0.2600970073388173,9.98458666866564e-05,94.7
1,0.6911000889106835,0.6839555180989779,0.399233157818134,0.2508896509042153,9.938441702975689e-05,192.2
2,0.6715116953716598,0.6615126729011536,0.43093724663440997,0.2752562142335452,9.861849601988383e-05,289.3
3,0.6534681579920166,0.6451685887116653,0.3859312098759871,0.24112322468024033,9.755282581475767e-05,387.0
4,0.636438685422503,0.6446658739676843,0.3567002604787166,0.22054397515379465,9.619397662556432e-05,484.2
5,0.6197332310276991,0.6236143799928519,0.4133253739430354,0.2617169286196048,9.455032620941837e-05,581.5
6,0.60101885802253,0.6015912523636451,0.4230100443729988,0.26954099306693446,9.26320082177046e-05,681.1
7,0.5839727024792293,0.5879048934349647,0.38985481514380527,0.24507670333752266,9.045084971874737e-05,778.6
8,0.5680978163327585,0.5725986636601962,0.4386403193840614,0.282129711829699,8.802029828000154e-05,876.0
9,0.5514062979367859,0.557602795270773,0.4401292067307692,0.28339327757175153,8.535533905932737e-05,974.0
10,0.5366226855935997,0.5493327516775864,0.4295163888197679,0.27438002137037426,8.247240241650918e-05,1071.9
11,0.5224448284290356,0.5293447558696454,0.4429169067969689,0.2856426044152333,7.938926261462365e-05,1169.8
12,0.5085135493531573,0.5217937299838433,0.4450057240632864,0.2874165257582298,7.612492823579742e-05,1269.1
13,0.49593496938657494,0.5118087507211245,0.4380478583849393,0.2816373728788816,7.269952498697731e-05,1367.6
14,0.48378242777046543,0.5034953860136179,0.4301043978104225,0.27504170743318707,6.913417161825447e-05,1464.6
15,0.4723618991215136,0.4936498449398921,0.42906929896428037,0.27423565089702606,6.545084971874736e-05,1562.1
16,0.46205543456130854,0.4806873637896318,0.44640406507712144,0.2887488007545471,6.167226819279526e-05,1660.2
17,0.4519011811171164,0.4768737187752357,0.4354396920937758,0.279248100060683,5.7821723252011525e-05,1758.0
18,0.4429462775171802,0.4647844365009895,0.447827018224276,0.28941464309508985,5.392295478639223e-05,1855.4
19,0.43402642894057586,0.46136587170454174,0.44514854825459993,0.28747095282261187,4.999999999999998e-05,1954.6
20,0.4269778678537081,0.45367726454368007,0.4434863879130437,0.28588837270553297,4.607704521360774e-05,2052.5
21,0.41957968107148924,0.4485967686543098,0.4441881477832794,0.28678299486637115,4.217827674798845e-05,2150.2
22,0.41364766798871855,0.444634721829341,0.4399438569178948,0.2833881297936806,3.832773180720472e-05,2247.7
23,0.4083033175774793,0.43857328020609343,0.4509473809829125,0.2921650799421164,3.4549150281252616e-05,2345.0
24,0.4029719348393339,0.43459370044561535,0.4455598019636594,0.28773517218919903,3.08658283817455e-05,2443.4
25,0.3988953392598882,0.43422405077860904,0.4453759422669044,0.28746720116872054,2.730047501302265e-05,2540.9
26,0.3952135358775794,0.43010948025263274,0.4459835703556354,0.2879606978251384,2.387507176420255e-05,2641.0
27,0.391397881774263,0.4292185054375575,0.44778817662825954,0.2895047813653946,2.061073738537634e-05,2738.3
28,0.3885493911178418,0.4257752070060143,0.44541083849393404,0.2877044998682462,1.7527597583490816e-05,2835.9
29,0.3863134595601918,0.4277152235691364,0.4418163505884317,0.28451913824448216,1.464466094067262e-05,2933.5
30,0.38439316339998936,0.42421648364800674,0.44604674440163833,0.2880752063714541,1.1979701719998447e-05,3031.5
31,0.38280164546140744,0.42258598942023057,0.44699777318881107,0.28898192942142487,9.549150281252628e-06,3128.2
32,0.3814086601054868,0.42097755578848034,0.4478054986550258,0.2895936897167793,7.367991782295387e-06,3225.8
33,0.3800533145832616,0.4197532809697665,0.44852708394710833,0.2901709664326448,5.449673790581608e-06,3323.7
34,0.37902442703033956,0.4195824425954085,0.4499504795441261,0.29148517892910886,3.806023374435661e-06,3420.9
35,0.378129478273445,0.4197850846327268,0.44736191171866196,0.28923238584628475,2.447174185242322e-06,3518.5
36,0.3778617352080745,0.4191102568919842,0.4428314429063063,0.2856369075866846,1.3815039801161715e-06,3617.1
37,0.37763240983366303,0.4202819741689242,0.4443076230012454,0.2865629494190216,6.155829702431167e-07,3713.4
38,0.3774812829228087,0.41811516880989075,0.44640049796838027,0.2884246718425017,1.5413331334360174e-07,3810.9
39,0.37742496602362097,0.42109405994415283,0.440610429415336,0.2835555248535596,0.0,3908.2
