epoch,train_loss,validation_macro_dice,lr
0,0.822740322067624,0.20323969423770905,0.0009938441702975688
1,0.6575754838330405,0.21578434109687805,0.0009755282581475768
2,0.5794802634488969,0.2981550991535187,0.0009455032620941839
3,0.5280183000223977,0.2783891260623932,0.0009045084971874737
4,0.5119238722892034,0.2858598530292511,0.0008535533905932737
5,0.478673314054807,0.2800499200820923,0.0007938926261462366
6,0.47492303592818125,0.3153744041919708,0.0007269952498697733
7,0.44824389545690446,0.36215391755104065,0.0006545084971874737
8,0.43109231832481565,0.36453181505203247,0.0005782172325201155
9,0.4149414322205952,0.3845190703868866,0.0005
10,0.41324174049354734,0.3802559971809387,0.0004217827674798847
11,0.4042038541464579,0.3701922595500946,0.00034549150281252633
12,0.39355081674598513,0.4112681746482849,0.00027300475013022663
13,0.38672393347535816,0.38637831807136536,0.00020610737385376348
14,0.37843380087897893,0.3816421627998352,0.00014644660940672625
15,0.37750896172864096,0.4062480628490448,9.549150281252631e-05
16,0.3683769085577556,0.4289098381996155,5.4496737905816096e-05
17,0.36451420684655506,0.42796263098716736,2.447174185242323e-05
18,0.3598531186580658,0.4360430836677551,6.15582970243117e-06
19,0.35794117904844736,0.4357258975505829,0.0
